,mfcc_00,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,chroma_00,chroma_01,chroma_02,chroma_03,chroma_04,chroma_05,chroma_06,chroma_07,chroma_08,chroma_09,chroma_10,chroma_11,f0,instrument
train/bass_electronic_000-029-100.wav,-505.14752197265625,71.97040557861328,61.64365005493164,54.58317184448242,45.373104095458984,36.8043212890625,30.12179183959961,23.983734130859375,18.552621841430664,14.097182273864746,11.175942420959473,8.81389331817627,6.68770170211792,5.261102199554443,4.564254283905029,4.008485794067383,3.0030877590179443,1.7383726835250854,0.501695990562439,-0.45114901661872864,0.13611777126789093,0.04860313981771469,0.041403427720069885,0.09484656155109406,0.2256053388118744,0.9212440848350525,0.21265080571174622,0.13899828493595123,0.07124744355678558,0.0873342901468277,0.0447637178003788,0.04646347463130951,86.1328125,bass
train/bass_electronic_000-030-100.wav,-493.4041748046875,71.5463638305664,62.09212875366211,55.88175582885742,46.673583984375,38.42203903198242,31.194137573242188,24.226343154907227,18.617692947387695,13.854385375976562,10.826422691345215,8.359254837036133,5.896783351898193,4.343801021575928,3.761758327484131,3.184511661529541,1.8628021478652954,0.6827085018157959,-0.3874955475330353,-1.7511438131332397,0.04332185909152031,0.09294505417346954,0.03881915286183357,0.04981660470366478,0.1026228740811348,0.20470787584781647,0.9578077793121338,0.23150372505187988,0.12941698729991913,0.06921857595443726,0.04403341934084892,0.03196084871888161,96.8994140625,bass
train/bass_electronic_000-031-100.wav,-493.0516662597656,60.77315902709961,53.24666976928711,48.696109771728516,41.95146560668945,35.44609069824219,30.470991134643555,25.491069793701172,20.8918514251709,16.74734115600586,13.605578422546387,10.80148696899414,8.179117202758789,6.713677406311035,5.889726638793945,5.183207035064697,4.126003265380859,3.1008758544921875,2.766205310821533,2.073843479156494,0.02981480583548546,0.02092570997774601,0.05823443457484245,0.034322891384363174,0.03782372549176216,0.0945613831281662,0.2564086318016052,0.9123355150222778,0.22303937375545502,0.08096923679113388,0.04402107000350952,0.033413294702768326,96.8994140625,bass
train/bass_electronic_000-032-100.wav,-490.4117736816406,59.59904479980469,52.413883209228516,49.14291763305664,42.8115234375,36.50334930419922,31.45258903503418,26.042675018310547,21.285593032836914,16.79987335205078,13.197818756103516,10.358283042907715,7.942076683044434,6.4295783042907715,5.296215534210205,4.588919639587402,3.9119205474853516,3.024484634399414,2.6231541633605957,2.1831517219543457,0.03299768641591072,0.02177894301712513,0.020135998725891113,0.04979145899415016,0.034421633929014206,0.04430704191327095,0.08159831166267395,0.2224542498588562,0.9090554714202881,0.2728574573993683,0.08272814005613327,0.04136662185192108,107.666015625,bass
train/bass_electronic_000-033-100.wav,-494.68243408203125,82.20281219482422,70.48175048828125,61.28534698486328,49.1878776550293,39.411991119384766,31.608240127563477,24.661767959594727,18.985126495361328,13.428400039672852,9.424687385559082,6.378571033477783,3.6718575954437256,1.1206156015396118,-1.3510632514953613,-3.104741334915161,-4.432719707489014,-5.442127227783203,-5.952061653137207,-5.7656731605529785,0.0339423343539238,0.028964754194021225,0.018048850819468498,0.021225184202194214,0.12459481507539749,0.03577142953872681,0.047474008053541183,0.08280019462108612,0.2443404644727707,0.8968943953514099,0.1917889565229416,0.06889569759368896,107.666015625,bass
train/bass_electronic_000-034-100.wav,-508.5326843261719,78.9249496459961,67.88817596435547,59.989505767822266,48.46979904174805,39.14547348022461,31.90024757385254,25.276527404785156,20.096797943115234,14.941341400146484,10.960022926330566,7.5597333908081055,4.334829807281494,1.6227535009384155,-0.9213652014732361,-2.8971076011657715,-4.151936054229736,-4.91580057144165,-5.449155807495117,-5.080904960632324,0.06273408234119415,0.030060289427638054,0.0221431702375412,0.01718822866678238,0.021871645003557205,0.10958267748355865,0.039351001381874084,0.050035133957862854,0.09128053486347198,0.215139240026474,0.867573618888855,0.23308014869689941,118.4326171875,bass
train/bass_electronic_000-035-100.wav,-491.3040466308594,78.88560485839844,68.25328063964844,59.978397369384766,48.254573822021484,38.750396728515625,30.822519302368164,23.881757736206055,18.410354614257812,12.778389930725098,8.705975532531738,5.360373497009277,2.0081820487976074,-0.876029908657074,-3.275531053543091,-4.802661418914795,-5.6103835105896,-6.050165176391602,-6.146958351135254,-5.491115570068359,0.20257756114006042,0.055152181535959244,0.030683742836117744,0.024984415620565414,0.020956531167030334,0.027012625709176064,0.13140392303466797,0.050750598311424255,0.06952294707298279,0.09246467798948288,0.23926769196987152,0.8926919102668762,64.599609375,bass
train/bass_electronic_000-036-100.wav,-489.9598388671875,62.04037094116211,54.119117736816406,48.667781829833984,40.36748504638672,34.0923957824707,28.340444564819336,22.949176788330078,18.26881980895996,13.027222633361816,9.533600807189941,6.418230056762695,3.42671537399292,0.9260334968566895,-1.5788874626159668,-3.0438222885131836,-4.039517402648926,-4.676680088043213,-4.596480846405029,-4.15765905380249,0.8549388647079468,0.09648491442203522,0.04858085885643959,0.02356766350567341,0.01708882860839367,0.018651461228728294,0.01895623654127121,0.08806048333644867,0.035331446677446365,0.049633923918008804,0.0784527137875557,0.2438867837190628,64.599609375,bass
train/bass_electronic_000-037-100.wav,-493.9449462890625,68.95872497558594,59.460723876953125,53.29618453979492,43.558311462402344,36.351348876953125,30.084779739379883,23.72541618347168,18.140695571899414,12.615440368652344,8.7440185546875,5.390347003936768,2.447296380996704,-0.26222071051597595,-2.5095229148864746,-3.5777125358581543,-4.166744709014893,-4.1826395988464355,-3.8962488174438477,-3.405722141265869,0.23703011870384216,0.8541101217269897,0.11261054873466492,0.05318908020853996,0.02950708568096161,0.029870152473449707,0.022327739745378494,0.0419376939535141,0.09068142622709274,0.06519636511802673,0.07262687385082245,0.13774743676185608,64.599609375,bass
train/bass_electronic_000-038-100.wav,-485.47119140625,86.19721221923828,72.4992446899414,61.92496871948242,48.80204391479492,37.93117904663086,28.350303649902344,20.082653045654297,12.397926330566406,5.337730884552002,2.028074026107788,0.08589199185371399,-1.185929536819458,-1.7729142904281616,-2.3136332035064697,-3.6362452507019043,-6.289722919464111,-8.378520011901855,-9.088900566101074,-8.43458080291748,0.12477894872426987,0.2047351598739624,0.873964786529541,0.15371863543987274,0.08957356959581375,0.06819505244493484,0.041554782539606094,0.07639124989509583,0.0843699648976326,0.23153333365917206,0.11114630103111267,0.13766103982925415,75.3662109375,bass
train/bass_electronic_000-039-100.wav,-474.87322998046875,84.80445861816406,72.40337371826172,63.33876037597656,50.38853454589844,39.744503021240234,30.253889083862305,20.79686164855957,12.382061958312988,5.063509464263916,0.8503678441047668,-1.8667415380477905,-3.9914557933807373,-5.2717366218566895,-5.463547706604004,-5.905682563781738,-7.540109634399414,-8.778684616088867,-9.347609519958496,-9.314508438110352,0.09248863905668259,0.1375228613615036,0.17710243165493011,0.8770862817764282,0.1827632635831833,0.09370478242635727,0.044429242610931396,0.06882546842098236,0.06902666389942169,0.09522966295480728,0.16848713159561157,0.12009579688310623,75.3662109375,bass
